name,class,tag,n,A_nnz,h2d,csc,count,scan,expand,merge,compact,workest,compute,copy,sort,reduce,final,numeric,pack,d2h
bcsstk07,Mildly sparse,mrg2,420,7860,0.06099999999992178,,0.01700000000005275,0.03099999999994907,,0.07200000000000273,0.01999999999998181,,,,,,0.030000000000086402,,0.014000000000010004,0.014999999999986358
can_256,Mildly sparse,cu,256,2916,0.06600000000003092,,,,,,,0.05000000000006821,0.15499999999997272,0.043000000000006366,,,,,0.012999999999919964,0.02900000000011005
can_256,Mildly sparse,gust,256,2916,0.06400000000007822,,0.01999999999998181,0.03099999999994907,0.02800000000002001,,,,,,0.1169999999999618,0.04000000000007731,0.04800000000000182,,0.012999999999919964,0.013000000000033651
can_256,Mildly sparse,merge,256,2916,0.06299999999998818,,0.019000000000005457,0.029999999999972715,0.12000000000000455,1.572999999999979,0.02500000000009095,,,,,,0.033999999999991815,,0.013999999999896318,0.013000000000033651
can_256,Mildly sparse,mrg2,256,2916,0.06299999999998818,,0.019000000000005457,0.028999999999996362,,0.2239999999999327,0.018000000000029104,,,,,,0.02800000000002001,,0.011999999999943611,0.013000000000033651
can_268,Mildly sparse,cu,268,3082,0.06200000000001182,,,,,,,0.049999999999954525,0.16400000000010095,0.04499999999995907,,,,,0.014000000000010004,0.024999999999977263
can_268,Mildly sparse,gust,268,3082,0.05999999999994543,,0.019000000000005457,0.03200000000003911,0.02400000000000091,,,,,,0.1230000000000473,0.03499999999996817,0.04899999999997817,,0.014000000000010004,0.014999999999986358
can_268,Mildly sparse,merge,268,3082,0.06399999999996453,,0.018000000000029104,0.031000000000062755,0.06699999999989359,0.4620000000001028,0.02100000000007185,,,,,,0.032999999999901775,,0.013000000000033651,0.01599999999996271
can_268,Mildly sparse,mrg2,268,3082,0.057999999999992724,,0.01700000000005275,0.029999999999972715,,0.1209999999999809,0.025999999999953616,,,,,,0.027000000000043656,,0.014000000000010004,0.013000000000033651
can_187,Mildly sparse,cu,187,1491,0.05999999999994543,,,,,,,0.04800000000000182,0.1409999999999627,0.043000000000006366,,,,,0.014000000000010004,0.023000000000024556
can_187,Mildly sparse,gust,187,1491,0.06100000000003547,,0.01599999999996271,0.03200000000003911,0.016999999999939064,,,,,,0.10500000000001819,0.033999999999991815,0.04499999999995907,,0.014000000000010004,0.008000000000038199
can_187,Mildly sparse,merge,187,1491,0.057999999999992724,,0.01700000000005275,0.028999999999996362,0.025999999999953616,0.047000000000025466,0.02100000000007185,,,,,,0.03099999999994907,,0.012999999999919964,0.009000000000014552
